gt,pred,count
k,#,1
#,p,1
p,l,1
L,I,2
C,L,1
G,C,1
q,g,9
1,U,1
U,l,1
I,S,1
W,a,1
a,b,1
b,8,1
I,b,1
b,c,1
R,p,1
i,F,1
3,r,1
v,y,4
J,j,2
l,I,9
I,6,2
6,t,1
t,X,1
X,n,1
I,i,4
5,S,3
B,8,1
c,T,1
g,q,4
0,u,1
x,w,1
W,O,1
O,@,1
K,G,1
I,l,9
p,o,1
O,Q,2
g,w,1
y,v,4
t,f,2
I,J,2
r,f,1
y,5,1
I,t,1
5,T,1
l,S,1
c,o,1
n,w,1
v,g,1
q,u,1
0,N,2
k,0,1
j,k,1
Q,O,5
l,i,5
j,i,3
P,R,1
q,o,1
v,S,1
6,b,1
l,j,1
o,g,1
i,a,1
2,#,1
#,b,1
y,F,1
F,6,1
6,a,1
9,g,2
8,B,1
p,6,1
S,5,1
R,J,1
M,N,2
i,j,5
D,I,1
4,D,1
x,4,1
U,L,1
i,I,1
i,t,1
z,=,1
f,z,1
h,f,1
m,h,1
5,r,1
@,n,1
9,q,1
J,I,1
k,l,1
s,k,1
S,s,1
U,b,1
o,d,1
6,g,1
w,W,2
Y,v,1
1,g,1
g,V,1
V,f,1
f,A,1
A,j,1
P,5,1
I,T,1
h,j,1
I,Q,1
Q,R,1
R,@,1
@,Q,1
Q,f,1
H,L,1
R,f,1
l,q,1
p,0,1
s,z,1
l,V,2
V,t,2
t,e,1
e,=,1
u,E,1
E,q,1
q,m,1
m,#,1
j,0,1
N,S,1
a,c,1
c,b,1
B,j,1
F,R,1
g,o,1
o,7,1
7,j,1
c,@,1
@,s,1
Z,L,1
L,V,1
V,J,1
y,1,1
l,t,1
6,5,2
C,6,1
m,c,1
q,x,1
1,s,1
i,1,1
O,i,1
z,O,1
B,6,1
F,E,1
I,d,1
d,r,1
l,W,3
y,i,1
u,Q,1
Q,Y,1
Y,4,1
i,L,1
9,0,1
d,Q,1
v,M,1
M,z,1
z,H,1
H,8,1
@,J,1
z,B,1
F,d,1
v,H,1
v,V,1
6,v,1
f,r,1
O,G,1
G,U,1
U,X,1
i,R,1
B,i,1
f,g,1
s,e,1
T,Y,1
d,0,1
9,3,1
D,O,1
0,d,1
j,H,1
G,t,1
I,j,1
N,M,1
N,i,1
g,N,1
i,g,1
a,i,1
b,h,1
D,b,1
H,D,1
k,H,1
w,k,1
5,w,1
B,t,1
#,e,1
1,2,1
q,1,1
O,q,1
m,O,1
W,@,1
@,3,1
3,k,1
v,2,1
2,n,1
n,P,1
l,u,1
M,9,1
9,c,1
n,r,1
X,K,1
J,l,2
1,3,1
C,4,1
u,G,1
v,m,1
2,w,1
0,6,1
n,p,2
U,j,1
J,6,1
6,7,1
i,l,1
W,s,1
2,H,1
s,6,1
f,t,1
8,@,1
T,F,1
T,H,1
u,0,1
3,5,1
z,e,1
I,D,1
D,a,1
a,n,1
#,l,1
L,#,1
8,6,1
A,@,1
@,x,1
3,S,1
g,d,1
N,V,1
V,w,1
w,O,1
P,p,1
R,Q,1
i,f,1
g,9,1
V,v,1
H,R,1
J,t,1
D,B,1
L,M,1
M,e,1
e,1,1
1,B,1
u,y,1
w,K,1
v,Z,1
Z,F,1
F,7,1
F,P,1
t,#,1
a,e,1
W,w,1
T,#,1
b,F,1
l,J,2
O,D,1
I,r,1
4,A,1
c,4,1
n,4,1
4,Z,1
Z,X,1
o,q,1
n,V,1
V,n,1
t,q,1
l,F,1
y,V,1
i,Q,1
Q,b,1
b,i,1
